iso,elapsed_ms,own_lag_ms,server_rtt_ms,daemon_rtt_ms
2026-08-10T07:48:04.718Z,11104,4.1,,1.8
2026-08-10T07:48:04.819Z,11204,6.9,,2.0
2026-08-10T07:48:04.919Z,11305,1.9,,1.9
2026-08-10T07:48:05.020Z,11406,3.1,,1.2
2026-08-10T07:48:05.120Z,11506,6.6,,1.4
2026-08-10T07:48:05.221Z,11606,3.0,,0.8
2026-08-10T07:48:05.321Z,11706,2.1,,3.1
2026-08-10T07:48:05.421Z,11806,1.9,,1.8
2026-08-10T07:48:05.522Z,11908,2.7,,7.4
2026-08-10T07:48:05.622Z,12008,1.4,,1.4
2026-08-10T07:48:05.724Z,12110,3.2,,2.1
2026-08-10T07:48:05.824Z,12210,3.5,,1.0
2026-08-10T07:48:05.926Z,12312,2.7,,2.7
2026-08-10T07:48:06.026Z,12412,3.8,,0.9
2026-08-10T07:48:06.126Z,12512,1.6,,0.9
2026-08-10T07:48:06.226Z,12612,2.3,,1.2
2026-08-10T07:48:06.327Z,12712,10.2,,3.3
2026-08-10T07:48:06.427Z,12813,6.7,,21.3
2026-08-10T07:48:06.527Z,12913,6.7,,2.7
2026-08-10T07:48:06.628Z,13013,6.8,,4.8
2026-08-10T07:48:06.730Z,13115,7.7,,14.6
2026-08-10T07:48:06.831Z,13216,7.1,,3.1
2026-08-10T07:48:06.931Z,13317,6.4,,6.4
2026-08-10T07:48:07.031Z,13417,3.1,,2.2
2026-08-10T07:48:07.132Z,13517,4.7,,1.5
2026-08-10T07:48:07.232Z,13617,4.6,,8.0
2026-08-10T07:48:07.332Z,13717,3.4,,1.0
2026-08-10T07:48:07.432Z,13818,8.6,,2.4
2026-08-10T07:48:07.532Z,13918,1.2,,2.5
2026-08-10T07:48:07.634Z,14020,5.3,,1.1
2026-08-10T07:48:07.736Z,14121,16.3,,6.0
2026-08-10T07:48:07.836Z,14222,7.1,,1.4
2026-08-10T07:48:07.938Z,14323,3.9,,2.5
2026-08-10T07:48:08.041Z,14427,1.7,,2.6
2026-08-10T07:48:08.142Z,14527,3.1,,1.6
2026-08-10T07:48:08.242Z,14627,8.4,,0.9
2026-08-10T07:48:08.342Z,14728,25.0,,0.8
2026-08-10T07:48:08.443Z,14829,4.1,,8.6
2026-08-10T07:48:08.543Z,14929,4.3,,0.9
2026-08-10T07:48:08.645Z,15031,2.1,,0.9
2026-08-10T07:48:08.746Z,15131,2.8,,0.7
2026-08-10T07:48:08.846Z,15232,1.6,,1.0
2026-08-10T07:48:08.946Z,15332,3.5,,1.3
2026-08-10T07:48:09.046Z,15432,1.0,,2.1
2026-08-10T07:48:09.147Z,15532,2.2,,0.8
2026-08-10T07:48:09.247Z,15632,1.4,,0.8
2026-08-10T07:48:09.347Z,15733,4.5,,0.9
2026-08-10T07:48:09.447Z,15833,6.1,,2.0
2026-08-10T07:48:09.547Z,15933,1.6,,0.8
2026-08-10T07:48:09.648Z,16033,1.9,,1.0
2026-08-10T07:48:09.748Z,16133,2.8,,1.7
2026-08-10T07:48:09.848Z,16234,1.9,,2.2
2026-08-10T07:48:09.949Z,16334,2.7,,0.9
2026-08-10T07:48:10.049Z,16434,3.0,,1.0
2026-08-10T07:48:10.149Z,16534,2.0,,1.1
2026-08-10T07:48:10.249Z,16634,0.9,,1.1
2026-08-10T07:48:10.349Z,16734,2.5,,1.2
2026-08-10T07:48:10.450Z,16835,1.8,,1.3
2026-08-10T07:48:10.550Z,16935,6.6,,1.3
2026-08-10T07:48:10.650Z,17036,1.5,,2.1
2026-08-10T07:48:10.750Z,17136,1.6,,2.4
2026-08-10T07:48:10.850Z,17236,2.8,,1.0
2026-08-10T07:48:10.951Z,17336,1.4,,1.0
2026-08-10T07:48:11.051Z,17436,1.8,,0.9
2026-08-10T07:48:11.151Z,17536,6.3,,0.9
2026-08-10T07:48:11.251Z,17636,7.6,,2.1
2026-08-10T07:48:11.351Z,17737,2.0,,1.0
2026-08-10T07:48:11.451Z,17837,1.7,,1.1
2026-08-10T07:48:11.551Z,17937,1.4,,0.8
2026-08-10T07:48:11.651Z,18037,1.0,,1.1
2026-08-10T07:48:11.751Z,18137,1.2,,1.7
2026-08-10T07:48:11.851Z,18237,0.8,,1.1
2026-08-10T07:48:11.952Z,18337,1.4,,1.1
2026-08-10T07:48:12.052Z,18437,1.5,,0.9
2026-08-10T07:48:12.152Z,18538,1.8,,0.8
2026-08-10T07:48:12.252Z,18638,1.1,,1.0
2026-08-10T07:48:12.352Z,18738,2.3,,1.1
2026-08-10T07:48:12.452Z,18838,1.3,,0.8
2026-08-10T07:48:12.552Z,18938,1.0,,1.9
2026-08-10T07:48:12.652Z,19038,1.3,,1.0
2026-08-10T07:48:12.752Z,19138,2.6,,1.5
2026-08-10T07:48:12.853Z,19238,1.2,,1.0
2026-08-10T07:48:12.953Z,19338,0.9,,1.0
2026-08-10T07:48:13.053Z,19438,0.8,,3.4
2026-08-10T07:48:13.153Z,19538,1.3,,0.9
2026-08-10T07:48:13.253Z,19638,3.0,,0.8
2026-08-10T07:48:13.353Z,19739,1.2,,0.8
2026-08-10T07:48:13.453Z,19839,1.6,,0.8
2026-08-10T07:48:13.553Z,19939,2.3,,5.2
2026-08-10T07:48:13.653Z,20039,1.4,,1.3
2026-08-10T07:48:13.753Z,20139,1.1,,1.5
2026-08-10T07:48:13.854Z,20239,1.1,,0.9
2026-08-10T07:48:13.954Z,20340,1.8,,0.9
2026-08-10T07:48:14.054Z,20440,2.0,,1.3
2026-08-10T07:48:14.154Z,20540,1.8,,1.9
2026-08-10T07:48:14.254Z,20640,1.3,,0.9
2026-08-10T07:48:14.354Z,20740,5.5,,0.9
2026-08-10T07:48:14.455Z,20840,1.2,,0.9
2026-08-10T07:48:14.555Z,20941,1.3,,1.1
2026-08-10T07:48:14.655Z,21041,1.1,,2.4
2026-08-10T07:48:14.755Z,21141,1.2,,1.4
2026-08-10T07:48:14.855Z,21241,1.3,,0.9
2026-08-10T07:48:14.956Z,21341,1.4,,0.7
2026-08-10T07:48:15.056Z,21441,1.7,,1.3
2026-08-10T07:48:15.156Z,21542,4.6,,0.8
2026-08-10T07:48:15.256Z,21642,1.7,,0.9
2026-08-10T07:48:15.357Z,21743,2.6,,2.3
2026-08-10T07:48:15.457Z,21843,2.0,,0.8
2026-08-10T07:48:15.557Z,21943,2.6,,3.1
2026-08-10T07:48:15.657Z,22043,1.8,,1.0
2026-08-10T07:48:15.760Z,22146,3.7,,0.9
2026-08-10T07:48:15.860Z,22246,3.9,,2.2
2026-08-10T07:48:15.960Z,22346,2.5,,0.8
